label,analysisId,covariateIds
Age group,3,"3003,4003,5003,6003,7003,8003,9003,10003,11003,12003,13003,14003,15003,16003,17003"
Gender: female,1,8532001
Race,4,
Ethnicity,5,
Prior outcomes:,999,
Amputation risk factors:,210,"42709838210,141663210,197304210,321052210,443730210"
Prior antidiabetic medication:,998,"43526465998,44785829998,45774751998,1583722998,19001409998,19059796998,1597756998,1560171998,19097821998,1559684998,19001441998,1000979998,35602717998,1516976998,1502905998,1550023998,1567198998,1544838998,40239216998,40170911998,44506754998,1503297998,19033909998,1525215998,1596977998,1547504998,40166035998"
Medical history: General,210,"4006969210,4212540210,255573210,440383210,318800210,192671210,432867210,316866210,443392210,433736210,80180210,4030518210,4279309210,81902210,4134440210"
Medical history: Cardiovascular disease,210,"313217210,381591210,317576210,321588210,4185932210"
Medication use,410,"21601782410,21602796410,21604686410,21604389410,21603932410,21600960410,21601664410,21601744410,21601461410,21600046410,21603248410,21601853410,21604254410,21604489410"
