"package","version"
"R","3.3.1"
"grDevices","3.3.1"
"graphics","3.3.1"
"utils","3.3.1"
"stats","3.3.1"
"methods","3.3.1"
"tools","3.3.1"
"assertthat","0.1"
"bindr","0.1"
"bit","1.1-12"
"colorspace","1.2-6"
"lazyeval","0.2.0"
"magrittr","1.5"
"Rcpp","0.12.9"
"stringi","1.1.2"
"base64enc","0.1-3"
"bindrcpp","0.1"
"curl","2.0"
"DBI","0.5-1"
"dichromat","2.0-0"
"digest","0.6.12"
"fastmatch","1.0-4"
"ff","2.2-13"
"grid","3.3.1"
"jsonlite","1.1"
"labeling","0.3"
"mime","0.5"
"munsell","0.4.3"
"openssl","0.9.4"
"plyr","1.8.4"
"R6","2.2.0"
"RColorBrewer","1.1-2"
"rJava","0.9-8"
"stringr","1.1.0"
"tibble","1.2"
"aws.signature","0.2.5"
"dplyr","0.5.0.9000"
"ffbase","0.12.3"
"gtable","0.2.0"
"httr","1.2.1"
"MASS","7.3-45"
"reshape2","1.4.2"
"RJDBC","0.2-5"
"scales","0.4.1.9000"
"SqlRender","1.2.0"
"uuid","0.1-2"
"XML","3.98-1.4"
"xml2","1.0.0.9000"
"DatabaseConnector","1.9.2"
"ggplot2","2.2.1"
"OhdsiSharing","0.1.1"
"DrugsInPeds","0.3.1"
