"package","version"
"R","3.6.0"
"grDevices","3.6.0"
"graphics","3.6.0"
"utils","3.6.0"
"stats","3.6.0"
"methods","3.6.0"
"rlang","0.4.0"
"tools","3.6.0"
"assertthat","0.2.1"
"backports","1.1.4"
"bit","1.1-14"
"crayon","1.3.4"
"digest","0.6.20"
"ellipsis","0.2.0.1"
"glue","1.3.1"
"grid","3.6.0"
"Rcpp","1.0.2"
"zeallot","0.1.0"
"cli","1.1.0"
"colorspace","1.4-1"
"fansi","0.4.0"
"fastmatch","1.1-0"
"ff","2.2-14"
"lattice","0.20-38"
"magrittr","1.5"
"rJava","0.9-11"
"stringi","1.4.3"
"triebeard","0.3.0"
"utf8","1.1.4"
"vctrs","0.2.0"
"DatabaseConnectorJars","1.1.0"
"DBI","1.0.0"
"ffbase","0.12.7"
"labeling","0.3"
"Matrix","1.2-17"
"mime","0.7"
"munsell","0.5.0"
"nlme","3.1-141"
"pillar","1.4.2"
"pkgconfig","2.0.2"
"plyr","1.8.4"
"R6","2.4.0"
"RColorBrewer","1.1-2"
"splines","3.6.0"
"SqlRender","1.6.3"
"stringr","1.4.0"
"urltools","1.7.3"
"viridisLite","0.3.0"
"xfun","0.9"
"DatabaseConnector","2.4.2"
"evaluate","0.14"
"gtable","0.3.0"
"highr","0.8"
"jsonlite","1.6"
"lazyeval","0.2.2"
"markdown","1.1"
"MASS","7.3-51.4"
"mgcv","1.8-28"
"reshape2","1.4.3"
"scales","1.0.0"
"snow","0.4-3"
"survival","2.44-1.1"
"tibble","2.1.3"
"withr","2.1.2"
"XML","3.98-1.20"
"yaml","2.2.0"
"base64enc","0.1-3"
"Cyclops","2.0.2"
"FeatureExtraction","2.2.5"
"ggplot2","3.2.1"
"gridExtra","2.3"
"htmltools","0.3.6"
"knitr","1.24"
"ParallelLogger","1.1.1"
"tinytex","0.15"
"CaseControl","2.0.0"
"CohortMethod","3.1.0"
"EmpiricalCalibration","2.0.0"
"rmarkdown","1.15"
"QuantifyingBiasInApapStudies","1.0.0"
